Dataset,ObservedProperty,OrigPropertyCode,DataType,StandardCode
VicGovernment,14D2_C,14D2_C,L,TRUE
VicGovernment,14E2,14E2,L,TRUE
VicGovernment,14E3,14E3,L,TRUE
VicGovernment,14F1,14F1,L,TRUE
VicGovernment,14F2,14F2,L,TRUE
VicGovernment,14F3,14F3,L,TRUE
VicGovernment,14F4,14F4,L,TRUE
VicGovernment,14F5,14F5,L,TRUE
VicGovernment,14G1,14G1,L,TRUE
VicGovernment,14G2,14G2,L,TRUE
VicGovernment,14H1_CA,14H1_CA,L,TRUE
VicGovernment,14H1_K,14H1_K,L,TRUE
VicGovernment,14H1_MG,14H1_MG,L,TRUE
VicGovernment,14H1_NA,14H1_NA,L,TRUE
VicGovernment,15_BASES,15_BASES,L,TRUE
VicGovernment,15_HSK_CEC,15_HSK_CEC,L,TRUE
VicGovernment,15_NR,15_NR,L,TRUE
VicGovernment,15_NR_AL,15_NR_AL,L,TRUE
VicGovernment,15_NR_CA,15_NR_CA,L,TRUE
VicGovernment,15_NR_CEC,15_NR_CEC,L,TRUE
VicGovernment,15_NR_H,15_NR_H,L,TRUE
VicGovernment,15_NR_K,15_NR_K,L,TRUE
VicGovernment,15_NR_MG,15_NR_MG,L,TRUE
VicGovernment,15_NR_NA,15_NR_NA,L,TRUE
VicGovernment,15_UB_CA,15_UB_CA,L,TRUE
VicGovernment,15_UB_CEC,15_UB_CEC,L,TRUE
VicGovernment,15_UB_K,15_UB_K,L,TRUE
VicGovernment,15_UB_MG,15_UB_MG,L,TRUE
VicGovernment,15_UB_NA,15_UB_NA,L,TRUE
VicGovernment,15A1_CA,15A1_CA,L,TRUE
VicGovernment,15A1_K,15A1_K,L,TRUE
VicGovernment,15A1_MG,15A1_MG,L,TRUE
VicGovernment,15A1_NA,15A1_NA,L,TRUE
VicGovernment,15A2_CA,15A2_CA,L,TRUE
VicGovernment,15A2_CEC,15A2_CEC,L,TRUE
VicGovernment,15A2_K,15A2_K,L,TRUE
VicGovernment,15A2_MG,15A2_MG,L,TRUE
VicGovernment,15A2_NA,15A2_NA,L,TRUE
VicGovernment,15A3_CA,15A3_CA,L,TRUE
VicGovernment,15A3_CEC,15A3_CEC,L,TRUE
VicGovernment,15A3_K,15A3_K,L,TRUE
VicGovernment,15A3_MG,15A3_MG,L,TRUE
VicGovernment,15A3_NA,15A3_NA,L,TRUE
VicGovernment,15B1_CA,15B1_CA,L,TRUE
VicGovernment,15B1_K,15B1_K,L,TRUE
VicGovernment,15B1_MG,15B1_MG,L,TRUE
VicGovernment,15B1_NA,15B1_NA,L,TRUE
VicGovernment,15B2_CA,15B2_CA,L,TRUE
VicGovernment,15B2_CEC,15B2_CEC,L,TRUE
VicGovernment,15B2_K,15B2_K,L,TRUE
VicGovernment,15B2_MG,15B2_MG,L,TRUE
VicGovernment,15B2_NA,15B2_NA,L,TRUE
VicGovernment,15B3_CA,15B3_CA,L,TRUE
VicGovernment,15B3_CEC,15B3_CEC,L,TRUE
VicGovernment,15B3_K,15B3_K,L,TRUE
VicGovernment,15B3_MG,15B3_MG,L,TRUE
VicGovernment,15B3_NA,15B3_NA,L,TRUE
VicGovernment,15C1_4,15C1_4,L,TRUE
VicGovernment,15C1_CA,15C1_CA,L,TRUE
VicGovernment,15C1_CEC,15C1_CEC,L,TRUE
VicGovernment,15C1_K,15C1_K,L,TRUE
VicGovernment,15C1_MG,15C1_MG,L,TRUE
VicGovernment,15C1_NA,15C1_NA,L,TRUE
VicGovernment,15D1_CA,15D1_CA,L,TRUE
VicGovernment,15D1_CEC,15D1_CEC,L,TRUE
VicGovernment,15D1_K,15D1_K,L,TRUE
VicGovernment,15D1_MG,15D1_MG,L,TRUE
VicGovernment,15D1_NA,15D1_NA,L,TRUE
VicGovernment,15D2_CA,15D2_CA,L,TRUE
VicGovernment,15D2_CEC,15D2_CEC,L,TRUE
VicGovernment,15D2_K,15D2_K,L,TRUE
VicGovernment,15D2_MG,15D2_MG,L,TRUE
VicGovernment,15D2_NA,15D2_NA,L,TRUE
VicGovernment,15D3_4,15D3_4,L,TRUE
VicGovernment,15D3_CA,15D3_CA,L,TRUE
VicGovernment,15D3_K,15D3_K,L,TRUE
VicGovernment,15D3_MG,15D3_MG,L,TRUE
VicGovernment,15D3_NA,15D3_NA,L,TRUE
VicGovernment,15E1_AEC,15E1_AEC,L,TRUE
VicGovernment,15E1_AL,15E1_AL,L,TRUE
VicGovernment,15E1_CA,15E1_CA,L,TRUE
VicGovernment,15E1_CEC,15E1_CEC,L,TRUE
VicGovernment,15E1_H,15E1_H,L,TRUE
VicGovernment,15E1_K,15E1_K,L,TRUE
VicGovernment,15E1_MG,15E1_MG,L,TRUE
VicGovernment,15E1_NA,15E1_NA,L,TRUE
VicGovernment,15E2_4,15E2_4,L,TRUE
VicGovernment,15E2_AEC,15E2_AEC,L,TRUE
