Organisation,OrigPropertyCode,ObservedProperty,DataType,StandardCode
NSWGovernment,Hydrologylayerpermeability,H_PERMEABILITY,M,TRUE
NSWGovernment,Hydrologysiteexposure,Hydrologysiteexposure,M,FALSE
NSWGovernment,Hydrologysoilwaterstatus,Hydrologysoilwaterstatus,M,FALSE
NSWGovernment,Identificationmethod,Identificationmethod,M,FALSE
NSWGovernment,Landformelement,S_ELEM_TYPE,M,TRUE
NSWGovernment,Landformpattern,S_PATT_TYPE,M,TRUE
NSWGovernment,Landformplancurvature,Landformplancurvature,M,FALSE
NSWGovernment,Landusegeneralarea1,Landusegeneralarea1,M,FALSE
NSWGovernment,Landusegeneralarea2,Landusegeneralarea2,M,FALSE
NSWGovernment,Landusegeneralarea3,Landusegeneralarea3,M,FALSE
NSWGovernment,Landusesite,o_land_use,M,TRUE
NSWGovernment,Latitude,o_latitude_GDA94,M,TRUE
NSWGovernment,Layernumber,H_NO,M,TRUE
NSWGovernment,Lithologyrockoutcrop,RO_LITH,M,TRUE
NSWGovernment,Localrelief,S_RELIEF_CLASS,M,TRUE
NSWGovernment,Location,Location,M,FALSE
NSWGovernment,Longitude,o_longitude_GDA94,M,TRUE
NSWGovernment,Massmovementpresentcondition,Massmovementpresentcondition,M,FALSE
NSWGovernment,Massmovementseverity,Massmovementseverity,M,FALSE
NSWGovernment,MGAeasting,o_easting,M,TRUE
NSWGovernment,MGAnorthing,o_northing,M,TRUE
NSWGovernment,MGAzone,o_amg_zone,M,TRUE
NSWGovernment,Microrelief,MR_TYPE,M,TRUE
NSWGovernment,Mottlesdominantmottleabundance,MOTT_ABUN,M,TRUE
NSWGovernment,Mottlesdominantmottlecolour,MOTT_COLOUR,M,TRUE
NSWGovernment,Mottlesdominantmottlecolourmodifier,Mottlesdominantmottlecolourmodifier,M,FALSE
NSWGovernment,Mottlesdominantmottlecontrast,MOTT_CONTRAST,M,TRUE
NSWGovernment,Mottlesdominantmottletype,MOTT_TYPE,M,TRUE
NSWGovernment,Mottlesdominantmunsellcolourchroma,mott_chroma,M,TRUE
NSWGovernment,Mottlesdominantmunsellcolourhue,MOTT_HUE,M,TRUE
NSWGovernment,Mottlesdominantmunsellcolourhuevalue,MOTT_HUE_VAL_CHROM,M,TRUE
NSWGovernment,Mottlesdominantmunsellcolourresolveddescription,Mottlesdominantmunsellcolourresolveddescription,M,FALSE
NSWGovernment,Mottlesdominantmunsellcolourvalue,mott_value,M,TRUE
NSWGovernment,Mottlessubdominantmottleabundance,abun,M,TRUE
NSWGovernment,Mottlessubdominantmottlecolour,mott_colour,M,TRUE
NSWGovernment,Mottlessubdominantmottlecolourmodifier,Mottlessubdominantmottlecolourmodifier,M,FALSE
NSWGovernment,Mottlessubdominantmottlecontrast,mott_contrast,M,TRUE
NSWGovernment,Mottlessubdominantmottletype,mott_type,M,TRUE
NSWGovernment,Mottlessubdominantmunsellcolourchroma,Mottlessubdominantmunsellcolourchroma,M,FALSE
NSWGovernment,Mottlessubdominantmunsellcolourhue,Mottlessubdominantmunsellcolourhue,M,FALSE
NSWGovernment,Mottlessubdominantmunsellcolourhuevalue,Mottlessubdominantmunsellcolourhuevalue,M,FALSE
NSWGovernment,Mottlessubdominantmunsellcolourresolveddescription,Mottlessubdominantmunsellcolourresolveddescription,M,FALSE
NSWGovernment,Mottlessubdominantmunsellcolourvalue,Mottlessubdominantmunsellcolourvalue,M,FALSE
NSWGovernment,Natureofexposure1,o_type,M,TRUE
NSWGovernment,Natureofexposure2,Natureofexposure2,M,FALSE
NSWGovernment,Numberoflayers,Numberoflayers,M,FALSE
NSWGovernment,Outcropsameas,Outcropsameas,M,FALSE
NSWGovernment,Pedcoatingamount,cutan_abun,M,TRUE
NSWGovernment,Pedcoatingdistinctiveness,cutan_distinct,M,TRUE
NSWGovernment,Pedcoatingtype,cutan_type,M,TRUE
NSWGovernment,Phototaken,Phototaken,M,FALSE
NSWGovernment,Presenceoffreewater,Presenceoffreewater,M,FALSE
NSWGovernment,Profiledate,o_date_desc,M,TRUE
NSWGovernment,Profiledrainage,O_DRAINAGE,M,TRUE
NSWGovernment,Profilenotes,O_NOTES,M,TRUE
NSWGovernment,Profilenumber,S_ID,M,TRUE
NSWGovernment,Profilepermeability,O_PERMEABILITY,M,TRUE
NSWGovernment,Rillseverity,o_rill_deg,M,TRUE
NSWGovernment,Rockoutcrop,ro_abun,M,TRUE
NSWGovernment,Rootsrootdistribution,Rootsrootdistribution,M,FALSE
NSWGovernment,Rootsrootsize1To2Mm,Rootsrootsize1To2Mm,M,FALSE
NSWGovernment,Rootsrootsize2To5Mm,Rootsrootsize2To5Mm,M,FALSE
NSWGovernment,Rootsrootsizegreaterthan5Mm,Rootsrootsizegreaterthan5Mm,M,FALSE
NSWGovernment,Rootsrootsizelessthan1Mm,Rootsrootsizelessthan1Mm,M,FALSE
NSWGovernment,Rootsrootsizeunspecified,Rootsrootsizeunspecified,M,FALSE
NSWGovernment,Rrillpresentcondition,o_rill_deg,M,TRUE
NSWGovernment,Runoff,O_RUNOFF,M,FALSE
NSWGovernment,Runon,Runon,M,FALSE
NSWGovernment,Salinity,Salinity,M,FALSE
NSWGovernment,Scaldpresentcondition,o_scald_state,M,TRUE
NSWGovernment,Scaldseverity,O_SCALD_DEG,M,TRUE
NSWGovernment,Sheetpresentcondition,O_SHEET_STATE,M,TRUE
NSWGovernment,Sheetseverity,O_SHEET_DEG,M,TRUE
NSWGovernment,Sitedisturbance1,dist_type,M,TRUE
NSWGovernment,Sitedisturbance2,Sitedisturbance2,M,FALSE
NSWGovernment,Sitemorphology,s_morph_type,M,TRUE
NSWGovernment,Siteprocess,Siteprocess,M,FALSE
NSWGovernment,Slope,s_slope,M,TRUE
NSWGovernment,Slopemeasurementmethod,s_slope_eval,M,TRUE
NSWGovernment,Slopemorphology,s_morph_type,M,TRUE
NSWGovernment,Soilfaunalactivitydegree,Soilfaunalactivitydegree,M,FALSE
NSWGovernment,Soilfaunalactivitytype1,Soilfaunalactivitytype1,M,FALSE
NSWGovernment,Soilfaunalactivitytype2,Soilfaunalactivitytype2,M,FALSE
NSWGovernment,Soilfaunalactivitytype3,Soilfaunalactivitytype3,M,FALSE
NSWGovernment,Soilllandscapegeomorphicclass,Soilllandscapegeomorphicclass,M,FALSE
NSWGovernment,Soilmapcode,o_map_unit_name,M,TRUE
NSWGovernment,Solumparentmaterial1,Solumparentmaterial1,M,FALSE
NSWGovernment,Solumparentmaterial2,Solumparentmaterial2,M,FALSE
